	ProxStylo_M7_3mo	ProxStylo_M8_3mo	ProxStylo_M9_3mo	DistStylo_M7_3mo	DistStylo_M8_3mo	DistStylo_M9_3mo	Elbow_M7_3mo	Elbow_M8_3mo	Elbow_M9_3mo	ProxZeugo_M7_3mo	ProxZeugo_M8_3mo	ProxZeugo_M9_3mo	DistZeugo_M7_3mo	DistZeugo_M8_3mo	DistZeugo_M9_3mo	Auto_M7_3mo	Auto_M8_3mo	Auto_M9_3mo	Digit1_M7_3mo	Digit1_M8_3mo	Digit1_M9_3mo	Digit2_M7_3mo	Digit2_M8_3mo	Digit2_M9_3mo	Digit3_M7_3mo	Digit3_M8_3mo	Digit3_M9_3mo	Digit4_M7_3mo	Digit4_M8_3mo	Digit4_M9_3mo	Digit5_M7_3mo	Digit5_M8_3mo	Digit5_M9_3mo
Uchl5	120.3	99.17	119.76	85.94	73.22	99.88	88.23	93.77	117.92	84.34	101.06	62.49	71.91	82.87	98.5	83.79	89.69	101.29	114.35	145.37	110.13	101.55	138.98	86.54	102.21	109.37	100.16	100.94	88.53	131.46	125.35	125.76	152.24
Upk3b	2.09	0.92	0	0	0	0	0	0.88	0	1.94	4.81	0	0	0	0	0	0	0	0	1.47	0	0	0	0	0	0	0	0	0	0	0	0	0
Cox10	66.98	61.67	62.44	61.96	68.17	53.93	47.44	52.19	68.64	59.14	126.88	89	35.23	11.6	34.21	37	17.08	22.07	24.26	14.69	24.37	22.31	20.02	10.82	21.68	25.87	24.39	20.37	29.94	20.6	20.65	31.65	14.18
C130026I21Rik	6.73	4.78	0	11.14	11.24	2.29	15.03	11.04	3.93	6.18	1.93	0	0	0	0	0.85	0	3.73	0.78	0	0	0	0	7.14	0	0	0	0	0	0	0	0	0
Fn3k	54.39	27.61	35.83	30.49	30.3	24.97	27.51	40.69	10.63	14.54	17.65	34.08	8.07	11.6	11.4	3.25	0	0.88	0.76	0	1.81	0	4.71	1.97	6.19	8.23	0	0	2.3	0	1.47	0	1.89
Stradb	265.7	405.88	391.01	383.48	389.93	364.55	300.76	307.84	297.69	262.72	476.45	522.62	151.89	238.66	93.31	125.28	67.46	82.1	84.81	64.61	47.9	56.93	73.02	66.87	44.91	58.8	72.08	73.1	88.53	59.07	88.48	60.98	80.37
Copz1	142.26	141.74	134.09	142.31	146.45	129.82	117.65	133.58	110.19	127	142.77	159.06	135.75	130.93	127.53	116.33	135.96	144.78	133.28	130.68	127.28	102.32	157.82	197.67	115.37	132.89	139.47	125.95	170.16	188.35	160.75	135.29	218.42
Gm13251	25.32	17.24	16.44	11.93	3.53	8.77	17.1	6.88	31.2	9.7	10.65	31.55	21.36	25.19	4.14	15.46	15.08	21.44	23.84	7.58	25.01	7.35	19.74	37.87	14	31.05	17.5	20.87	10.66	31.91	29.23	39.88	15.62
Olfr957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Herc2	307.54	323.05	414.56	406.56	442.71	484.4	472.48	397.19	371.15	405.23	516.26	657.06	454.93	424.29	468.4	479.18	431.36	385.78	304.4	435.37	408.31	337.72	338.02	252.74	363.14	348.11	384.72	350.06	320.69	274.68	300.84	334.42	304.47
Olfr143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unc5b	43.03	54.44	54.91	39.13	39.74	63.43	45.55	89.37	125.54	61.07	23.1	51.94	87.27	111.01	289.23	118.2	211.4	180.53	135.6	184.9	170.17	136.54	124.87	178.04	113.51	102.23	112.74	121.88	111.66	162.43	118.11	153.53	167.41
Olfr1294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Defb29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serhl	52.3	43.26	44.01	40.66	47.13	23.97	23.72	28.31	33.83	27.14	72.19	26.51	35.95	21.55	28.63	44.74	72.61	81.22	56.79	59.09	77.63	60.77	69.49	96.38	81.3	68.21	88.72	73.16	88.41	81.42	78.16	68.6	53.9
Lilra6	16.54	15.45	11.79	9.46	7.92	12.51	19.17	11.12	7.83	6.33	0	3.79	10.93	7.33	17.17	3.58	8.01	2.43	2.88	5.51	0	1.75	0	0	0	5.47	6.54	0	7.16	0	0	6.93	14.38
Unc5a	33.47	13.81	27.64	23.1	39.56	25.97	27.51	8.85	8.7	11.63	19.25	26.51	5.87	14.92	8.29	9.76	4.27	5.3	3.03	0.73	2.71	1.54	3.53	0	1.55	0	2.81	1.85	1.15	0	5.9	0	0
Olfr971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Strn3	948.77	1104.45	1317.37	1492.84	1436.1	1415.07	1217.11	1323.49	1511.65	1379.39	2757.65	2126.54	1072.03	1402.15	720.57	1182.06	906.15	846.61	748.93	507.24	608.64	527.77	557.08	630.18	602.4	656.23	658.06	649.19	621.99	659.28	644.46	583.09	598.84
Ltbr	52.3	51.54	40.94	45.28	42.08	55.93	28.46	38.04	60.89	57.2	43.31	60.59	36.69	53.04	80.87	54.51	42	22.95	38.62	30.1	18.04	29.23	5.89	20.65	22.45	21.1	34.63	43.53	28.74	51.01	17.7	27.63	20.8
Apex1	56.49	74.55	60.39	68.38	47.96	64.92	58.82	65.46	86.02	56.23	65.77	72.75	75.58	91.16	90.12	85.4	90.4	72.39	84.06	98.38	84.85	113.1	94.22	113.09	71.24	65.86	87.99	87.98	60.93	90.25	85.53	98.13	166.43
Olfr818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Snd1	335.78	284.39	202.67	172.8	202	201.75	207.78	173.38	157.5	204.56	192.5	195.04	184.91	192.26	260.24	157.01	145.21	176.56	192.35	182.81	211.23	209.25	193.26	232.09	205.96	201.1	206.87	186.14	188.55	185.41	150.42	226.76	212.75
Kcns2	0	1.84	1.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Psmc3	524.06	497	565.03	545.2	557.17	570.29	475.33	498.03	521.97	536.06	734	558.6	390.36	359.65	539.13	532.86	409.3	442.28	453.6	351.06	317.74	372.34	368.64	360.92	425.86	355.16	335.22	343.58	385.15	462.05	365.73	401.11	365.93
Tex33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lce1m	115.07	82.79	157.61	146.93	104.36	157.79	178.39	192	297.98	158.99	204.5	98.46	27.14	6.63	5.18	39.86	25.63	31.78	0	23.49	25.27	0.77	28.27	19.67	171.89	29.4	47.72	58.69	32.32	11.77	33.92	18.1	7.56
Scg5	0	0	0	0	0	3	0.95	0	0	0	1.6	0	0	0	0	1.63	0.71	4.41	0.76	2.2	0	3.08	1.18	5.9	0	0	0	2.78	0	0	0	1.91	0
Nmi	40.8	46.02	47.09	48.05	63.97	21.97	37.96	40.69	43.49	30.05	38.5	18.94	31.55	34.81	43.55	30.91	22.07	11.48	34.07	15.42	14.44	19.23	22.38	29.5	24.78	28.22	34.63	12.97	40.24	37.28	20.65	10.48	17.02
Adam34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nlrp12	4.18	1.84	7.17	6.47	0	1	10.44	8.85	0.97	1.94	0	0	2.94	10.51	0	0.81	2.14	3.96	0	0.73	0	2.31	0	6.88	5.43	0	0.94	0	4.6	0	4.38	0	0
Dio2	144.36	49.7	25.59	31.42	34.51	18.98	44.59	46.88	32.86	37.81	36.9	60.59	58.7	33.15	54.95	38.24	78.3	60.03	109.8	50.66	56.87	68.47	40.04	65.89	51.88	49.39	53.36	80.57	50.59	42.18	72.26	57.17	56.73
Cldn16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maml3	37.69	19.33	41.97	32.34	30.3	55.93	42.69	47.77	69.59	62.05	43.31	49.23	77.78	49.72	135.82	69.96	72.71	68.86	96.92	117.47	109.82	104.63	92.91	88.51	69.69	61.15	89.86	74.11	91.98	64.75	124.14	95.28	91.72
Vstm4	13.6	5.52	7.17	7.39	7.57	9.99	5.69	11.5	17.4	19.39	14.44	18.94	16.88	11.6	11.4	11.39	6.41	8.83	18.93	5.14	16.25	8.46	7.07	5.9	12.39	2.35	0	17.6	11.5	11.77	5.9	10.48	3.78
Srp19	145.4	152.78	149.54	120.13	138.03	137.83	150.85	136.23	130.48	109.55	218.17	239.04	113.73	111.04	231.63	149.69	144.25	136.83	130.25	95.44	126.37	129.95	108.35	102.28	111.49	96.43	154.45	163.92	121.87	158.92	134.2	164.83	139
Dhrs7	263.6	231.01	191.41	151.59	168.33	159.8	149.9	152.15	155.61	184.2	253.46	213.97	250.11	303.3	171.07	276.6	127.42	149.19	208.25	251.09	119.15	230.02	226.13	178.98	253.19	181.31	244.31	240.8	240.29	154.02	249.23	141.96	181.55
Cdh7	0	0	0	0	0	0	0	0	0.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tas2r106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nasp	444.4	499.44	412.52	438.93	462.93	436.46	619.54	616.57	424.31	379.06	394.63	278.35	443.73	457.4	474.85	514.15	692.04	760.08	696.28	649.74	579.63	631.11	618.33	728.19	600.85	728.3	632.24	696.42	715.12	664.14	684.27	674.6	709.17
Amer1	53.61	47.73	90.39	70.24	67.18	53.29	60.57	49.44	32.79	49	54.67	95.4	60.95	46.08	62.21	83.29	80.64	58.73	68.29	71.13	57.95	86.58	111.66	75.62	65.88	73.28	58.41	81.04	62.48	69.77	58.16	45.31	61.46
Gria3	28.24	43.26	33.78	40.66	31.14	22.97	41.75	27.52	24.16	26.18	6.42	30.3	40.36	38.09	35.53	21.15	19.93	27.37	37.11	26.8	23.48	17.69	36.51	18.69	13.16	39.99	24.27	29.63	17.25	14.72	17.7	20.96	13.24
Olfr202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wbscr28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arhgap36	0	0	2.05	1.85	0	0	0.95	1.77	2.9	0	0	0	0	0	0	0	0	0.88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fam210a	424.7	478.53	429.01	635.72	552.95	442.8	447.81	414.88	407.88	531.26	697.83	505.58	220.13	235.35	132.71	325.63	212.12	180.59	171.14	149.77	136.3	149.24	121.32	148.5	142.47	157.59	196.57	159.29	164.41	143.23	181.39	115.28	114.41
Lmo2	212.58	247.58	176.06	154.06	137.89	141.82	253.32	268.92	68.62	65.92	97.86	30.3	87.32	67.95	52.88	93.56	59.08	64.44	56.78	24.96	51.45	97.7	63.6	48.19	86.72	51.75	82.37	62.97	57.49	58.86	56.04	40.02	30.26
Olfr1013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cdc42ep3	94.14	123.33	138.19	113.23	85.85	93.88	104.36	146.48	61.49	82.4	117.11	94.68	108.6	101.1	114.05	99.25	104.64	107.68	102.99	71.22	59.58	98.47	56.53	82.61	72.04	52.92	61.78	66.68	77.03	47.09	89.96	66.8	68.08
Zfp930	5.27	9.07	12.78	15.64	20.48	15.71	8.86	10.97	12.4	15.98	9.66	8.1	14.23	16.62	13.77	16.46	12.88	6.84	18.83	18.46	11.51	11.22	11.53	9.39	17.05	10.36	13.06	7.25	9.15	5.09	13.88	22.69	13.82
Gnb2l1	1653.81	1613.39	1456.58	1612.48	1538.53	1600.02	1424.86	1413.77	1728.16	1492.97	1528.8	1957.92	1656.1	1884.45	2532.89	1643.33	2370.37	2687.26	2298.12	2902.21	2912.02	2295.36	2456.8	2917.82	2437.48	2557.51	3229.5	2302.78	3006.49	3086.5	2540.95	3119.08	3196.95
Ccdc77	33.47	33.13	17.4	12.94	27.77	34.06	20.87	23.02	35.76	23.27	17.65	22.72	16.88	39.78	45.62	25.22	1.42	7.06	33.32	21.29	15.35	17.69	12.96	15.73	17.81	32.93	30.89	23.15	22.99	22.56	28.02	19.06	12.29
Heatr1	54.39	63.51	65.51	78.55	62.28	68.91	76.85	59.27	42.53	58.17	36.9	79.53	60.9	62.98	70.52	73.22	73.29	71.51	78	138.03	91.24	63.85	106	91.46	91.37	84.67	108.58	92.61	96.58	74.56	154.85	92.42	80.37
Vmn1r119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rgn	3.14	0	0	0	1.68	0	1.9	0	1.93	0	0	0	4.4	8.29	19.7	3.25	21.35	31.78	27.26	66.08	55.97	17.69	27.09	22.62	48.01	35.28	58.04	26.86	55.19	15.7	19.17	31.44	26.48
Krtap12-1	0	0	1.02	0	0	0	0	0	0.97	0	0	0	0	0	1.04	1.63	2.14	2.65	0	0	6.32	0	0	0	3.1	0	0	0	0	0	4.42	15.36	5.67
Tnni1	39.75	48.78	71.65	134.91	128.77	142.82	111	81.38	34.8	31.99	36.9	37.87	19.08	43.09	31.1	343.31	108.2	80.33	63.6	0.73	24.37	19.23	9.42	1.97	33.29	31.75	24.34	58.34	14.95	36.3	4.42	7.62	0
Mybphl	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cnn2	267.79	258.62	247.73	255.96	217.99	253.69	371.91	386.57	197.17	215.22	141.17	126.87	252.41	212.15	154.48	140.39	182.94	172.15	180.23	220.06	201.79	168.48	138.98	158.33	219.13	165.82	167.56	146.32	175.91	167.75	188.77	145.77	160.75
Ccdc15	1.05	3.68	7.17	5.54	7.57	1	5.69	7.08	0	0	3.21	7.57	6.6	8.29	0	2.44	2.85	9.71	1.51	5.14	0.9	3.08	5.89	4.92	4.65	3.53	5.62	2.78	0	0	4.42	5.72	3.78
Dmrtc2	0	0	1.02	0	0	0	0	0	0	0	0	5.68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vmn1r83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bves	33.47	40.5	63.46	55.44	62.28	56.93	38.9	40.69	49.29	61.08	118.71	60.59	34.49	34.81	16.59	65.9	11.39	7.06	15.9	0	0.9	9.23	4.71	0	7.74	0	5.62	5.56	3.45	0	0	3.81	0
Brpf1	71.13	69.95	95.19	78.55	83.32	64.92	98.67	106.15	77.32	54.29	60.96	73.85	63.85	76.24	105.75	73.22	63.35	97.11	81.78	85.17	87.56	110.01	74.2	95.05	86.72	109.37	88.14	95.39	77.03	93.2	79.87	98.13	128.6
Mgat3	20.92	12.89	13.31	18.48	18.52	16.98	16.13	11.5	8.7	28.11	17.65	17.04	15.41	54.69	9.33	20.34	7.83	16.77	26.5	8.08	10.83	6.15	2.36	12.78	17.81	12.94	4.68	24.08	12.65	13.73	22.12	4.76	8.51
Zfp579	27.2	42.34	24.57	23.1	25.25	25.97	29.41	30.96	24.16	42.68	25.67	32.19	23.48	51.38	41.47	55.32	42	28.25	33.32	30.84	25.27	46.16	18.84	34.42	36.39	22.34	25.27	49.08	34.49	31.39	22.12	24.77	34.99
0610009D07Rik	40.52	43.67	41.98	42.51	25.2	43.95	37.31	39.81	29.92	44.3	33.82	49.61	62.37	48.46	54.44	43.78	39.15	48.65	59.07	74.15	60.48	61.6	63.6	65.89	60.4	91.85	62.72	87.08	88.73	71.61	89.96	69.55	101.18
Zbtb18	439.34	431.68	519.99	578.46	610.31	541.33	474.42	523.69	605.92	542.9	1156.56	1281.25	478.36	592.93	234.32	385.6	221.64	283.04	203.71	231.3	230.18	186.72	136.62	192.75	198.99	217.57	185.34	175.03	184.03	242.39	199.74	246.04	247.73
Gpr153	56.49	80.07	72.68	48.05	42.92	52.93	57.79	69	81.19	67.86	56.15	45.45	49.9	11.6	71.54	66.71	51.96	45.02	69.67	65.34	52.36	81.55	16.49	30.49	46.46	39.99	35.57	45.38	47.14	25.51	44.24	25.72	44.44
Fbxw13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm10377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mup7	0	0	4.73	0	14.46	7.02	0	13.49	0	5.67	0	0	0	0	0	0	0	0	2.87	0	0	0	0	0	0	6.19	0	19.22	0	0	0	0	0
Ndor1	62.78	64.55	59.54	58.22	66.51	75.96	52.72	78.01	96.18	96.03	89.39	43.57	98.87	97.16	113.03	92.59	91.97	117.83	117.81	127.71	133.67	135.02	107.29	140.48	130.1	165.7	134.16	139.59	123.1	149.18	137.21	136.14	193.23
Prl7a2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adat1	24.31	15.45	59.34	42.96	45.44	35.22	30.95	36.27	29.37	37.85	44.92	31.98	41.44	24.23	54.02	31.89	25.33	23.9	34.26	38.18	21.85	20.02	25.91	21.64	30.31	37.97	16.68	35.17	15.2	13.68	36.87	43	32.15
Grpel1	123.43	134.37	104.41	108.12	97.63	135.83	84.44	78.73	112.12	114.39	133.15	87.1	57.95	69.61	113.01	64.27	60.5	55.62	74.21	66.81	68.6	60.77	51.82	52.12	61.94	76.44	64.59	80.57	72.43	70.63	63.41	35.25	84.16
Aldh2	829.52	856.87	697.07	549.7	666.59	604.25	590.13	493.61	523.86	638.88	486.07	579.42	403.57	414.35	492.48	358.77	356.62	259.54	279.42	302.48	288.86	355.43	434.58	406.15	338.37	286.95	372.56	354.65	331.12	361.99	261.03	248.67	323.37
Vmn1r64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ccr9	4.18	3.68	3.07	1.85	5.89	0	4.74	7.08	3.95	4.9	0	0	0.73	2.24	0	0	0	2.65	0	2.17	5.71	0.77	0	0	2.32	7.51	0	4.63	1.15	9.92	9.53	1.94	14.06
Arhgap9	76.68	80.99	42.99	53.6	53.02	42.95	75.9	65.46	47.36	31.02	19.25	49.23	33.75	41.43	35.25	19.52	20.64	20.3	28.78	22.03	14.44	19.23	9.42	11.8	19.36	27.05	13.1	22.23	17.25	11.77	20.65	14.29	19.86
Ak1	2458.01	2896.37	3837.5	4216.08	4235.18	3918.31	2400.37	2306.25	3600.55	2970.49	6730.72	7479.59	1352.99	1819.87	944.38	1460.28	472.66	456.96	434.69	105.42	241.92	145.4	106	102.28	243.9	159.94	279.79	306.53	127.62	223.85	231.53	109.57	85.1
Usp17la	0	0	0	0	0.84	1.14	3.73	0	1.98	4.83	0	0	0	0	0	7.42	0	0.9	0	0.69	0	0	0	3.29	0.6	5.87	3.73	0	0	0	0	0	0
Tmem159	41.84	29.45	63.46	47.13	53.87	69.91	40.8	72.54	82.16	61.08	68.98	96.57	99.06	129.28	90.2	59.39	62.64	94.46	46.19	59.47	51.45	58.47	47.11	70.81	71.24	56.45	47.74	64.83	48.29	42.18	54.57	44.78	64.3
Dnaic1	0	0	1.02	0.92	0	0	0	2.65	0	0	0	0	0	0	0	0	0	0	0	0	1.81	0	0	0	0	0	0	0	0	0	0	0	0
Adsl	199	180.01	250.13	244.51	230.96	235.89	177.93	143.85	160.86	184.32	304.83	242.71	126.16	146.15	98.13	131.9	49.84	63	99.83	76.62	93.6	82.92	102.03	89.02	108.34	60.59	83.34	93.15	88.33	61.82	77.35	70.03	83.57
Pth2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Folr2	29.29	11.04	19.45	6.47	10.94	16.98	13.28	10.62	5.8	10.66	11.23	0	8.81	0	9.33	24.44	15.66	19.42	20.45	11.01	13.54	18.46	32.98	21.64	6.19	39.99	40.25	14.82	54.04	26.49	4.42	23.82	3.78
BB287469	0.26	0.17	0.07	0	0	0.17	0	0	0	0	0	0	0	0	0.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dnajc5	347.01	275.52	268.17	288.28	267.64	302.61	327.32	257.44	251.31	287.93	333.67	320.01	318.54	344.74	233.28	297.74	346.71	347.45	351.39	339.21	327.67	273.1	253.21	350.29	323.66	330.47	400.46	374.53	370.21	321.77	373.11	398.2	333.78
Zfp703	159	170.27	134.09	101.68	103.95	115.86	163.19	127.38	151.75	202.62	134.75	176.12	198.16	197.23	139.97	264.4	201.45	197	170.38	167.39	134.5	177.71	179.02	170.68	144.02	155.24	191.89	184.29	174.76	155	141.57	189.6	112.52
Bptf	178.87	175.79	204.72	259.53	211.57	272.66	265.65	260.96	270.64	217.18	275.92	227.23	267.83	258.55	343.18	279.85	336.69	329.28	221.12	300.28	327.58	286.95	321.54	279.29	307.13	284.6	274.27	282.46	315.02	238.38	249.23	327.75	303.53
Nudt4	987.47	1031.8	1432.01	1352.81	1197.24	1397.27	1193.53	929.03	1060.3	1076.09	1339.51	1454.03	742.57	719.3	720.57	764.72	495.42	514.67	600.51	525.64	597.82	543.9	474.64	548.64	597.72	569.2	487.69	539.91	523.12	604.28	592.84	422.07	538.02
Sptssb	0	0	5.12	0	0	0	0	0	8.7	0	0	0	1.47	0	0	3.25	5.69	6.18	0	10.28	4.51	2.31	0	6.88	0	1.18	0	3.7	0	0	0	0	4.73
Ube2j2	69.53	88.36	63.26	82.49	67.9	69.74	73.37	72.08	105.64	68.26	114.65	97.61	55.96	23.25	65.38	73.02	99.53	69.19	50.93	59.08	76.95	64.9	76.8	64.2	79.26	88.64	57.01	75.11	80.77	68.01	88.38	75.83	120.31
Tbc1d16	78.45	45.1	54.59	72.08	68.17	94.88	45.54	38.92	53.16	40.72	49.73	60.59	55.03	49.72	18.66	26.85	37.01	41.49	18.93	9.54	14.44	24.62	35.33	37.37	17.81	16.46	39.3	34.27	10.35	32.37	20.65	25.72	13.24
Sh3bgrl2	117.16	66.27	48.11	74.85	47.97	66.92	62.62	123.84	112.12	83.37	65.77	54.91	135.75	77.9	72.58	56.95	123.15	183.62	146.91	301.75	286.15	115.4	181.38	162.27	184.28	248.14	157.26	150.95	155.21	218.5	212.36	143.87	214.64
