"","PC1","PC2","PC3","PC4"
"g53",0.129049772140831,0.0142356124257103,0.0940334000242936,0.121985051148378
"g54",0.0262136469661774,-0.0113851703590341,-0.155902953166072,0.0248001002716194
"g55",-0.00403792333536848,0.0827746993513453,0.113510010811127,0.0672195303764399
"g56",-0.0316924536753322,0.038488685928528,-0.146127372289297,0.0479688846554821
"g57",-0.0857198840264445,0.161633587218807,-0.15695176712539,-0.0963926072351824
"g58",0.0878396965961547,0.0353360196927384,0.063653103703725,0.15451529453335
"g59",0.0365884788766129,0.166851516997457,0.0663117306749605,0.155819035401386
"g60",0.138921504465652,0.0416122284468084,-0.0645405909832604,-0.0646363573325972
"g61",-0.158506928751362,-0.119660117547013,0.00119446443695673,0.113675196812897
"g62",-0.134521030111871,0.00599923789174202,0.0135164517581377,0.0818429251957552
"g63",-0.0603532409907352,-0.0977859400713319,-0.053495769100081,0.0295455243247448
"g64",0.159463905803204,0.0749175677337941,-0.0338248521724539,-0.169960075075182
"g65",0.130280573928535,0.165878610714803,0.0343592670491661,0.0500906726045748
"g66",0.0341440958771987,0.150393029275472,0.0347949431383035,0.168299238336007
"g67",0.0608362176393867,0.0677200705433156,-0.0145460772615598,-0.126500617568129
"g68",0.043447360224674,-0.169083780148785,-0.0635749015779109,0.116052582035083
"g69",-0.0783810209798748,-0.159011135741353,-0.049342985104503,0.136506109453268
"g70",-0.0436787834457343,0.0588595258157958,0.159927535700763,0.154789053090387
"g71",-0.0603580028500093,0.0383590584344149,-0.190068401218798,0.0358746897054636
"g72",0.127644428644775,-0.0737989035804233,0.0270292653627786,0.020318400133725
"g73",-0.104626517854666,-0.157728351592227,0.111415035831773,-0.0478101963985317
"g74",0.0653215348456629,-0.157147453454238,0.0507991826793244,-0.06024144272105
"g75",0.0762435766894144,0.120775859462499,0.106674855526416,-0.0795946820324619
"g76",0.0441623568653059,0.0395297984968224,0.0903152745776004,-0.113792120557795
"g77",-0.0551205003765479,0.152116825520077,-0.0743222738012341,0.0986515191878308
"g78",-0.0104973429707714,-0.179622522073674,0.0359621956774922,0.00158924761212566
"g79",0.109241584680726,-0.104061025883793,0.0940480515939041,0.0257939672292863
"g80",0.073208120726022,-0.0459223280689888,0.187448916990907,0.0274490176794211
"g81",-0.10091275157891,-0.123144735541934,-0.149207590056575,-0.113468042720197
"g82",0.0141355267594677,0.0922298594784723,-0.0601377889013573,-0.0793643971904916
"g83",-0.124593870210179,0.123881008058695,-0.0782157321305712,-0.00706890598249842
"g84",-0.0327375923820913,0.0626773692002293,0.0600495888238386,0.189923427767118
"g85",0.131179027421575,-0.0330205588720275,-0.0854761913679303,0.104024993136759
"g86",-0.221756261573479,0.0574819139405891,0.138516920870839,0.0609343507047736
"g87",-0.152833296858627,-0.10520115930408,-0.0545814722088074,-0.123041769883388
"g88",-0.192473610729394,0.0301396010180296,0.102622477620814,0.115396152304331
"g89",0.0529710714498327,0.171347944757347,-0.056001217215797,-0.0786093808008259
"g90",0.0970073764696913,0.0167524609553676,-0.0904976549457759,0.10597290487576
"g91",0.126193794044164,-0.0258368981854884,-0.120636090325237,0.134924232182894
"g92",-0.0149170537069518,0.0610952580432397,0.107571979007501,-0.173992155085843
"g93",-0.15128858827905,-0.0219818964642936,-0.157217645372355,0.0217547888153261
"g94",-0.0292837314839339,-0.0083520453233368,0.0216867433763045,-0.106173396413728
"g95",-0.0469991874695754,0.108846923891102,-0.277721838406342,0.015613407758282
"g96",0.140992566259148,-0.0421084647264747,0.156523537231616,0.0623481366334302
"g97",-0.166673604425054,0.109312012954262,-0.0232978736836359,0.175882634417512
"g98",-0.0976985985549566,-0.0429216579768911,-0.0543800801315247,0.195831436491031
"g99",-0.066124432723908,-0.00673636754693676,0.0850051974872177,0.138111920249654
"g100",0.0948512470852356,-0.15928668470987,-0.051441770575046,-0.0113505200981422
